72786 OTX Spokane Observations at 00Z 09 Aug 2019
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
  926.0    728   34.2    8.2     20   7.42    235      5  314.2  337.7  315.6
  925.0    737   34.2    9.2     22   7.95    240      6  314.3  339.5  315.8
  917.0    815   32.2    8.2     23   7.49    249      8  313.0  336.7  314.4
  906.9    914   31.2    7.8     23   7.36    260     10  313.0  336.3  314.4
  876.2   1219   28.1    6.5     25   6.98    245      9  312.9  335.0  314.2
  850.0   1489   25.4    5.4     28   6.66    255     10  312.7  333.8  314.0
  817.4   1829   22.0    4.1     31   6.30    280      6  312.7  332.7  313.9
  802.0   1995   20.4    3.4     33   6.13    275      5  312.6  332.1  313.8
  789.0   2134   19.2    2.7     33   5.92    270      4  312.8  331.7  313.9
  761.1   2438   16.6    1.1     35   5.47     30      1  313.2  330.7  314.2
  734.2   2743   13.9   -0.5     37   5.05    240      2  313.6  329.8  314.5
  700.0   3148   10.4   -2.6     40   4.54    260      7  314.0  328.6  314.8
  681.0   3376    8.4   -4.6     39   4.01    269      7  314.2  327.3  315.0
  657.6   3658    5.9   -5.3     45   3.94    280      8  314.5  327.4  315.2
  609.8   4267    0.4   -6.8     59   3.78    325     11  315.0  327.4  315.8
  587.2   4572   -2.4   -7.6     68   3.70    285     12  315.2  327.4  315.9
  572.0   4784   -4.3   -8.1     75   3.65    292     11  315.4  327.4  316.1
  565.3   4877   -4.9   -9.0     73   3.45    295     10  315.7  327.1  316.4
  559.0   4965   -5.5   -9.8     72   3.27    289     10  316.0  326.9  316.7
  544.0   5177   -6.3  -22.3     27   1.18    273     10  317.6  321.7  317.8
  530.0   5381   -7.9  -26.9     20   0.80    258     10  318.0  320.9  318.2
  506.0   5738  -10.7  -25.7     28   0.94    232     10  318.8  322.2  319.0
  500.0   5830  -11.3  -28.3     23   0.75    225     10  319.2  321.9  319.3
  482.9   6096  -13.3  -30.3     23   0.64    225     12  319.9  322.3  320.1
  481.0   6126  -13.5  -30.5     22   0.63    225     12  320.0  322.4  320.2
  478.0   6174  -13.9  -25.9     36   0.97    225     12  320.1  323.6  320.3
  470.0   6302  -14.7  -29.7     27   0.70    225     12  320.7  323.2  320.8
  463.9   6401  -15.2  -27.5     34   0.86    225     12  321.2  324.3  321.4
  461.0   6448  -15.5  -26.5     38   0.96    231     12  321.4  324.9  321.6
  455.0   6547  -15.7  -21.7     60   1.49    244     12  322.4  327.7  322.7
  445.5   6706  -16.2  -23.1     55   1.35    265     13  323.7  328.5  324.0
  444.0   6732  -16.3  -23.3     55   1.33    264     13  323.9  328.7  324.2
  410.6   7315  -20.5  -27.5     54   0.98    240     13  325.8  329.4  326.0
  400.0   7510  -21.9  -28.9     53   0.88    240     15  326.4  329.7  326.6
  394.0   7620  -22.8  -29.7     54   0.83    240     17  326.7  329.8  326.8
  377.8   7925  -25.3  -31.8     55   0.71    230     16  327.3  330.0  327.4
  362.0   8234  -27.9  -33.9     56   0.60    222     20  327.9  330.2  328.0
  347.1   8534  -30.4  -34.7     66   0.58    215     23  328.4  330.6  328.5
  342.0   8638  -31.3  -35.0     70   0.57    218     25  328.6  330.8  328.7
  332.4   8839  -32.8  -38.5     57   0.42    225     28  329.2  330.8  329.3
  321.0   9083  -34.7  -42.7     44   0.28    221     32  329.9  331.0  330.0
  318.2   9144  -35.3  -42.9     45   0.27    220     33  330.0  331.1  330.0
  313.0   9258  -36.3  -43.3     48   0.27    219     36  330.1  331.1  330.1
  309.0   9347  -37.1  -50.1     25   0.13    218     38  330.2  330.7  330.2
  305.0   9436  -37.5  -59.5      8   0.04    216     40  330.8  331.0  330.8
  300.0   9550  -38.3  -51.3     24   0.11    215     43  331.3  331.8  331.3
  296.0   9642  -38.7  -47.7     38   0.17    214     44  332.0  332.7  332.0
  291.0   9759  -39.1  -49.1     34   0.15    212     46  333.0  333.7  333.1
  250.0  10780  -48.3  -57.3     34   0.07    200     63  334.1  334.4  334.1
  236.0  11158  -51.4  -61.2     30   0.04    200     67  335.0  335.2  335.0
  233.0  11242  -52.1  -62.1     29   0.04    200     67  335.2  335.3  335.2
  231.7  11278  -52.2  -62.7     27   0.04    200     67  335.5  335.7  335.5
  222.0  11556  -53.1  -67.1     17   0.02    203     58  338.3  338.4  338.3
  219.0  11644  -52.3  -69.3     11   0.02    204     55  340.8  340.9  340.8
  211.0  11885  -53.9  -76.9      4   0.01    207     47  342.0  342.0  342.0
  202.0  12166  -53.7  -76.7      4   0.01    210     38  346.6  346.6  346.6
  201.2  12192  -53.9  -76.9      4   0.01    210     37  346.6  346.6  346.6
  200.0  12230  -54.3  -77.3      4   0.01    210     38  346.6  346.6  346.6
  193.0  12457  -55.7  -78.7      4   0.00    210     43  347.9  347.9  347.9
  191.0  12523  -55.5  -78.5      4   0.00    210     42  349.3  349.3  349.3
  186.0  12692  -53.3  -80.3      2   0.00    210     39  355.5  355.5  355.5
  182.8  12802  -53.8  -83.9      1   0.00    210     37  356.5  356.5  356.5
  182.0  12831  -53.9  -84.9      1   0.00    211     37  356.7  356.8  356.7
  165.0  13400  -49.7  -68.7      9   0.02    236     32  373.9  374.0  373.9
  150.0  14020  -52.9  -73.9      6   0.01    240     23  378.7  378.8  378.7
  145.0  14238  -53.7  -75.7      5   0.01    242     23  381.0  381.1  381.0
  143.0  14328  -53.1  -75.1      5   0.01    243     24  383.6  383.6  383.6
  129.0  14987  -56.1  -80.1      3   0.01    250     25  389.6  389.7  389.6
  127.0  15086  -55.5  -79.5      4   0.01    250     25  392.5  392.5  392.5
  124.0  15240  -56.3  -80.3      3   0.01    250     24  393.8  393.8  393.8
  124.0  15238  -56.3  -80.3      3   0.01    250     24  393.7  393.8  393.7
  120.0  15447  -54.9  -78.9      4   0.01    248     24  400.0  400.0  400.0
  107.0  16175  -57.7  -83.7      2   0.00    240     23  408.0  408.0  408.0
  105.0  16294  -58.3  -83.3      3   0.00    238     22  409.1  409.1  409.1
  100.0  16600  -58.9  -84.9      2   0.00    235     22  413.6  413.7  413.6
   94.6  16949  -59.1  -85.1      2   0.00    246     21  419.9  419.9  419.9
   85.0  17625  -56.9  -84.9      2   0.00    269     20  437.4  437.4  437.4
   83.1  17769  -56.5  -84.5      2   0.00    273     19  441.0  441.0  441.0
   79.5  18050  -56.9  -84.9      2   0.00    282     19  445.8  445.8  445.8
   76.6  18288  -56.7  -84.7      2   0.00    290     18  451.1  451.1  451.1
   70.0  18860  -56.1  -84.1      2   0.00    260      6  464.0  464.1  464.0
   69.6  18898  -56.0  -84.0      2   0.00    255      9  464.9  465.0  464.9
   68.5  18997  -55.9  -83.9      2   0.01    255     10  467.3  467.4  467.3
   65.0  19330  -56.7  -84.7      2   0.00    257     11  472.6  472.7  472.6
   61.2  19712  -55.3  -83.3      2   0.01    258     14  483.9  484.0  483.9
   58.8  19966  -55.9  -82.9      2   0.01    259     15  488.2  488.2  488.2
   57.4  20117  -55.5  -82.7      2   0.01    260     16  492.3  492.3  492.3
   54.7  20422  -54.8  -82.3      2   0.01    300      8  500.7  500.7  500.7
   52.2  20726  -54.1  -81.9      2   0.01    215      6  509.2  509.2  509.2
   50.0  21000  -53.5  -81.5      2   0.01    180      3  517.0  517.0  517.0
