height(mAGL) detrain(unitless)
50 0.0097
150 0.0123
250 0.0139
350 0.0139
450 0.0135
550 0.0135
650 0.0138
750 0.0143
850 0.0140
950 0.0124
1050 0.0110
1150 0.0099
1250 0.0090
1350 0.0083
1450 0.0071
1550 0.0051
1650 0.0048
1750 0.0060
1850 0.0063
1950 0.0057
2050 0.0042
2150 0.0062
2250 0.0084
2350 0.0105
2450 0.0121
2550 0.0125
2650 0.0121
2750 0.0119
2850 0.0120
2950 0.0120
3050 0.0117
3150 0.0114
3250 0.0113
3350 0.0114
3450 0.0118
3550 0.0123
3650 0.0123
3750 0.0122
3850 0.0131
3950 0.0136
4050 0.0133
4150 0.0125
4250 0.0120
4350 0.0122
4450 0.0124
4550 0.0126
4650 0.0128
4750 0.0131
4850 0.0132
4950 0.0136
5050 0.0141
5150 0.0149
5250 0.0164
5350 0.0182
5450 0.0193
5550 0.0196
5650 0.0196
5750 0.0193
5850 0.0187
5950 0.0185
6050 0.0182
6150 0.0172
6250 0.0160
6350 0.0149
6450 0.0140
6550 0.0131
6650 0.0126
6750 0.0127
6850 0.0130
6950 0.0128
7050 0.0117
7150 0.0103
7250 0.0094
7350 0.0091
7450 0.0090
7550 0.0087
7650 0.0082
7750 0.0073
7850 0.0057
7950 0.0035
8050 0.0019
8150 0.0010
8250 0.0003
8350 0.0003
8450 0.0003
8550 0.0003
8650 0.0003
8750 0.0003
8850 0.0003
8950 0.0003
9050 0.0003
9150 0.0003
9250 0.0003
9350 0.0003
9450 0.0003
9550 0.0003
9650 0.0003
9750 0.0003
9850 0.0003
9950 0.0003
10050 0.0003
10150 0.0003
10250 0.0003
10350 0.0003
10450 0.0003
10550 0.0003
10650 0.0003
10750 0.0003
10850 0.0003
10950 0.0003
11050 0.0003
11150 0.0003
11250 0.0003
11350 0.0003
11450 0.0003
11550 0.0003
11650 0.0003
11750 0.0003
11850 0.0003
11950 0.0003
12050 0.0003
12150 0.0003
12250 0.0003
12350 0.0003
12450 0.0003
12550 0.0003
12650 0.0003
12750 0.0003
12850 0.0003
12950 0.0003
13050 0.0003
13150 0.0003
13250 0.0003
13350 0.0003
13450 0.0003
13550 0.0003
13650 0.0003
13750 0.0003
13850 0.0003
13950 0.0003
14050 0.0003
14150 0.0003
14250 0.0003
14350 0.0003
14450 0.0003
14550 0.0003
14650 0.0003
14750 0.0003
14850 0.0003
14950 0.0003
15050 0.0003
15150 0.0003
15250 0.0003
15350 0.0003
15450 0.0003
15550 0.0003
15650 0.0003
15750 0.0003
15850 0.0003
15950 0.0003
16050 0.0003
16150 0.0003
16250 0.0003
16350 0.0003
16450 0.0003
16550 0.0003
16650 0.0003
16750 0.0003
16850 0.0003
16950 0.0003
17050 0.0003
17150 0.0003
17250 0.0003
17350 0.0003
17450 0.0003
17550 0.0003
17650 0.0003
17750 0.0003
17850 0.0003
17950 0.0003
18050 0.0003
18150 0.0003
18250 0.0003
18350 0.0003
18450 0.0003
18550 0.0003
18650 0.0003
18750 0.0003
18850 0.0003
18950 0.0003
19050 0.0003
19150 0.0003
19250 0.0003
19350 0.0003
19450 0.0003
19550 0.0003
19650 0.0003
19750 0.0003
19850 0.0003
19950 0.0003
