height(km) press(hPa) W(M/S) T(C) T-TE(C) QV(g/kg) SAT(g/kg) QC(g/kg) QH(g/kg) QI(g/kg) "Buoy(1e-2 m/s2)" radius(m) dwdt_entr(unitless) plumeT(K) envT(K)
0.0000 926.0001 9.3712 34.1926 0.1425 7.6787 38.6772 0.0000 0.0000 0.0000 1.5857 1.5451 -0.0156 307.4926 307.3500
0.0500 920.7949 9.3754 33.4937 0.4949 7.6830 37.3353 0.0000 0.0000 0.0000 1.5857 1.5587 -0.0156 306.7937 306.2987
0.1500 910.0001 9.4216 32.4886 1.0750 7.6819 35.6165 0.0000 0.0000 0.0000 2.3621 1.5802 -0.0192 305.7886 304.7137
0.2500 899.7050 9.4582 31.4837 1.0841 7.6754 33.9511 0.0000 0.0000 0.0000 2.4666 1.6017 -0.0212 304.7837 303.6995
0.3500 889.8688 9.5091 30.4793 1.0962 7.6656 32.3410 0.0000 0.0000 0.0000 2.5610 1.6224 -0.0208 303.7793 302.6831
0.4500 880.0329 9.5778 29.4755 1.1088 7.6531 30.8019 0.0000 0.0000 0.0000 2.6313 1.6422 -0.0197 302.7755 301.6667
0.5500 870.3185 9.6549 28.4720 1.1119 7.6393 29.3259 0.0000 0.0000 0.0000 2.6612 1.6619 -0.0192 301.7719 300.6600
0.6500 860.6890 9.7328 27.4685 1.1085 7.6247 27.9119 0.0000 0.0000 0.0000 2.6787 1.6817 -0.0192 300.7685 299.6600
0.7500 851.0593 9.8103 26.4655 1.1056 7.6092 26.5608 0.0000 0.0000 0.0000 2.7134 1.7014 -0.0195 299.7655 298.6600
0.8500 841.3618 9.9017 25.4650 1.1050 7.5935 25.2751 0.0000 0.0000 0.0000 2.7669 1.7190 -0.0186 298.7650 297.6600
0.9500 831.6559 10.0211 24.4664 1.1064 7.5780 24.0491 0.0000 0.0000 0.0000 2.8277 1.7343 -0.0162 297.7664 296.6600
1.0500 821.9501 10.1641 23.4695 1.1095 7.5630 22.8796 0.0000 0.0000 0.0000 2.8674 1.7478 -0.0141 296.7695 295.6600
1.1500 812.5723 10.3212 22.4741 1.0964 7.5485 21.7547 0.0000 0.0000 0.0000 2.8584 1.7599 -0.0124 295.7741 294.6777
1.2500 803.5363 10.4793 21.4805 1.0666 7.5346 20.6729 0.0000 0.0000 0.0000 2.7656 1.7709 -0.0111 294.7805 293.7138
1.3500 794.2374 10.6292 20.4900 0.9565 7.5204 19.6504 0.0000 0.0000 0.0000 2.5877 1.7807 -0.0100 293.7899 292.8335
1.4500 784.9474 10.7711 19.5026 0.8289 7.5075 18.6771 0.0000 0.0000 0.0000 2.3678 1.7888 -0.0084 292.8026 291.9737
1.5500 775.7369 10.9126 18.5178 0.6994 7.4971 17.7483 0.0000 0.0000 0.0000 2.1308 1.7952 -0.0060 291.8178 291.1184
1.6500 766.5264 11.0380 17.5337 0.5705 7.4832 16.8619 0.0000 0.0000 0.0000 1.9089 1.8028 -0.0056 290.8337 290.2632
1.7500 757.4590 11.1324 16.5515 0.4556 7.4680 16.0143 0.0000 0.0000 0.0000 1.7252 1.8107 -0.0069 289.8515 289.3959
1.8500 748.6066 11.2084 15.5707 0.3600 7.4519 15.2019 0.0000 0.0000 0.0000 1.5649 1.8186 -0.0072 288.8707 288.5107
1.9500 739.7541 11.2739 14.5913 0.2659 7.4376 14.4280 0.0000 0.0000 0.0000 1.3960 1.8253 -0.0065 287.8913 287.6254
2.0500 731.0618 11.3421 13.6127 0.1652 7.4222 13.6870 0.0000 0.0000 0.0000 1.2002 1.8322 -0.0047 286.9127 286.7475
2.1500 722.6667 11.3726 12.6362 0.0528 7.4014 12.9765 0.0000 0.0000 0.0000 0.9881 1.8409 -0.0069 285.9362 285.8833
2.2500 714.2717 11.3633 11.6622 -0.0570 7.3750 12.3011 0.0000 0.0000 0.0000 0.7783 1.8513 -0.0093 284.9622 285.0191
2.3500 705.8766 11.3154 10.6910 -0.1639 7.3429 11.6595 0.0000 0.0000 0.0000 0.5837 1.8633 -0.0116 283.9910 284.1549
2.4500 697.5000 11.2359 9.7225 -0.2643 7.3062 11.0495 0.0000 0.0000 0.0000 0.4313 1.8764 -0.0134 283.0225 283.2868
2.5500 689.1666 11.1395 8.7558 -0.3539 7.2671 10.4686 0.0000 0.0000 0.0000 0.3047 1.8895 -0.0139 282.0558 282.4096
2.6500 680.8298 11.0310 7.7906 -0.4416 7.2260 9.9163 0.0000 0.0000 0.0000 0.1374 1.9026 -0.0135 281.0906 281.5323
2.7500 672.3192 10.9039 6.8274 -0.5183 7.1844 9.3937 0.0000 0.0000 0.0000 -0.0639 1.9162 -0.0134 280.1274 280.6457
2.8500 663.8085 10.7557 5.8663 -0.5930 7.1422 8.8971 0.0000 0.0000 0.0000 -0.2541 1.9303 -0.0136 279.1663 279.7592
2.9500 655.4237 10.5883 4.9069 -0.6625 7.0995 8.4234 0.0000 0.0000 0.0000 -0.4207 1.9447 -0.0137 278.2069 278.8694
3.0500 647.5419 10.4043 3.9476 -0.7186 7.0573 7.9661 0.0000 0.0000 0.0000 -0.5806 1.9595 -0.0135 277.2476 277.9662
